englishword,wayuuword,partofspeech,englishdefinition,wayuudefinition
a,wane,adjective,n/a,n/a
abandon,oo'ulawaa,transitive verb,n/a,n/a
abdomen,komo'loo ale'e,possessed noun,have a protruding abdomen,komo'loo ale'e
ability,atüjaa,noun,n/a,n/a
able,ainkaa,transitive verb,be able to,ainkaa
able,ayunkaa,transitive verb,be able to,ayunkaa
able,eewaa süpüla,stative verb,be able to,eewaa süpüla
able,ountaa,transitive verb,be able to,ountaa
unable,nnojolaa süpüla,stative verb,be unable to,nnojolaa süpüla
abode,epia,possessed noun,n/a,n/a
abound,amülawaa,intransitive verb,n/a,n/a
about,achiki,postposition,n/a,n/a
about,maa aka,adverb,n/a,n/a
about,oo'opünaa,postposition,n/a,n/a
above,iipünaa,adverb,n/a,n/a
absence,achikiru'u,postposition,in one's absence,achikiru'u
abstain,aamajaa,intransitive verb,abstain from,aamajaa
